metric,value
input_rows,504.0
modeling_rows,504.0
dropped_invalid_salary_rows,0.0
usd_to_vnd,26000.0
salary_period_year_without_annual_signal,101.0
salary_period_annual_signal_rows,0.0
top_skill_count,30.0
feature_count,37.0
missing_rate_experience_min,0.1389
missing_rate_skill_count,0.0
missing_rate_posted_age_days,0.0
missing_rate_source,0.0
missing_rate_location_norm,0.0
missing_rate_seniority,0.131
missing_rate_work_mode,0.0
top_skill_jobs_sql,121.0
top_skill_jobs_python,84.0
top_skill_jobs_java,76.0
top_skill_jobs_docker,70.0
top_skill_jobs_aws,62.0
top_skill_jobs_javascript,61.0
top_skill_jobs_postgresql,54.0
top_skill_jobs_react,52.0
top_skill_jobs_devops,50.0
top_skill_jobs_mysql,48.0
top_skill_jobs_ai,47.0
top_skill_jobs_node.js,47.0
top_skill_jobs_tester,44.0
top_skill_jobs_typescript,41.0
top_skill_jobs_azure,40.0
top_skill_jobs_english,37.0
top_skill_jobs_qa,36.0
top_skill_jobs_kubernetes,33.0
top_skill_jobs_redis,32.0
top_skill_jobs_go,31.0
top_skill_jobs_.net,27.0
top_skill_jobs_api,26.0
top_skill_jobs_c#,26.0
top_skill_jobs_php,25.0
top_skill_jobs_mongodb,23.0
top_skill_jobs_angular,22.0
top_skill_jobs_giao tiep,22.0
top_skill_jobs_cloud,21.0
top_skill_jobs_agile,20.0
top_skill_jobs_gcp,20.0
